Frame_No,LH_Hand_X,LH_Hand_Y,LH_Hand_Z,LH_Elbow_X,LH_Elbow_Y,LH_Elbow_Z,LH_Shoulder_X,LH_Shoulder_Y,LH_Shoulder_Z,RH_Hand_X,RH_Hand_Y,RH_Hand_Z,RH_Elbow_X,RH_Elbow_Y,RH_Elbow_Z,RH_Shoulder_X,RH_Shoulder_Y,RH_Shoulder_Z,Torso_X,Torso_Y,Torso_Z
181,       762,       557,      825,      773,      442,      983,      795,      388,      1235,      982,      552,      773,      1053,      434,      1036,      1052,      393,      1232,      901,      541,      1273,      
182,       767,       569,      774,      773,      461,      982,      795,      388,      1235,      986,      544,      764,      1051,      431,      1036,      1052,      393,      1232,      901,      541,      1273,      
183,       767,       563,      774,      773,      462,      983,      795,      388,      1235,      987,      531,      767,      1050,      430,      1035,      1052,      393,      1232,      901,      541,      1273,      
184,       769,       557,      773,      774,      461,      983,      795,      388,      1235,      990,      524,      759,      1049,      429,      1035,      1052,      393,      1232,      901,      541,      1274,      
185,       770,       546,      773,      775,      434,      989,      795,      388,      1236,      1005,      522,      790,      1049,      429,      1035,      1052,      393,      1232,      901,      542,      1274,      
186,       770,       546,      773,      775,      434,      989,      795,      388,      1236,      1005,      522,      790,      1049,      429,      1035,      1052,      393,      1232,      901,      542,      1274,      
187,       770,       540,      770,      775,      459,      984,      795,      387,      1236,      998,      528,      796,      1048,      429,      1034,      1052,      393,      1232,      901,      542,      1274,      
188,       773,       541,      772,      769,      445,      982,      795,      387,      1237,      978,      535,      782,      1048,      429,      1034,      1052,      393,      1232,      901,      542,      1275,      
189,       771,       540,      769,      775,      458,      984,      795,      387,      1237,      993,      535,      799,      1048,      428,      1034,      1052,      393,      1232,      901,      542,      1277,      
190,       761,       542,      812,      769,      445,      980,      795,      387,      1238,      991,      544,      770,      1047,      428,      1034,      1051,      393,      1232,      901,      543,      1277,      
191,       898,       690,      742,      770,      443,      980,      795,      387,      1238,      989,      546,      773,      1047,      428,      1034,      1051,      393,      1232,      902,      542,      1278,      
192,       1057,       554,      829,      771,      442,      980,      795,      387,      1238,      988,      538,      815,      1047,      428,      1033,      1051,      393,      1232,      902,      542,      1278,      
193,       1056,       557,      833,      771,      444,      980,      795,      387,      1238,      1002,      546,      811,      1047,      428,      1033,      1051,      393,      1232,      901,      542,      1279,      
194,       1056,       560,      834,      771,      444,      980,      795,      387,      1238,      986,      557,      780,      1048,      430,      1034,      1051,      393,      1233,      901,      542,      1280,      
195,       840,       633,      793,      772,      467,      988,      795,      387,      1238,      970,      558,      785,      1049,      432,      1035,      1051,      393,      1233,      901,      542,      1280,      
196,       753,       612,      794,      773,      467,      988,      795,      387,      1238,      982,      553,      806,      1050,      433,      1035,      1051,      393,      1233,      901,      542,      1280,      
197,       752,       614,      799,      773,      467,      988,      795,      387,      1238,      984,      561,      801,      1051,      434,      1036,      1051,      393,      1233,      901,      542,      1281,      
198,       750,       615,      796,      775,      448,      985,      795,      387,      1238,      981,      571,      796,      1051,      435,      1037,      1051,      393,      1233,      901,      542,      1281,      
199,       750,       615,      796,      775,      448,      985,      795,      387,      1238,      981,      571,      796,      1051,      435,      1037,      1051,      393,      1233,      901,      542,      1281,      
200,       750,       609,      793,      774,      452,      984,      795,      387,      1238,      977,      574,      797,      1051,      435,      1037,      1051,      393,      1233,      901,      542,      1282,      
201,       750,       609,      793,      773,      465,      987,      795,      387,      1237,      978,      587,      786,      1052,      436,      1037,      1051,      393,      1233,      901,      542,      1282,      
202,       747,       617,      802,      771,      447,      982,      795,      387,      1237,      977,      589,      789,      1052,      436,      1037,      1051,      393,      1233,      901,      542,      1282,      
203,       725,       731,      706,      770,      471,      989,      795,      387,      1237,      978,      589,      792,      1051,      438,      1033,      1050,      393,      1233,      900,      542,      1282,      
204,       744,       623,      795,      766,      444,      986,      795,      387,      1237,      979,      589,      792,      1051,      439,      1030,      1050,      393,      1233,      900,      542,      1282,      
205,       742,       624,      805,      765,      444,      986,      795,      387,      1236,      980,      590,      791,      1051,      440,      1030,      1050,      393,      1233,      900,      542,      1283,      
206,       743,       626,      803,      765,      459,      983,      795,      387,      1236,      980,      595,      792,      1051,      439,      1032,      1050,      393,      1233,      900,      542,      1283,      
207,       745,       625,      804,      764,      448,      982,      795,      387,      1236,      979,      598,      798,      1051,      439,      1033,      1050,      393,      1233,      900,      542,      1283,      
208,       745,       625,      802,      764,      447,      983,      794,      387,      1236,      976,      598,      798,      1052,      439,      1034,      1050,      393,      1233,      899,      542,      1283,      
209,       748,       625,      805,      764,      446,      984,      794,      387,      1236,      977,      594,      804,      1052,      440,      1035,      1050,      393,      1233,      899,      542,      1283,      
210,       749,       629,      807,      767,      462,      984,      794,      388,      1236,      979,      598,      799,      1052,      440,      1035,      1050,      393,      1233,      899,      542,      1283,      
211,       752,       626,      808,      767,      463,      984,      794,      388,      1235,      979,      601,      797,      1052,      440,      1035,      1050,      393,      1233,      899,      542,      1283,      
212,       747,       628,      813,      762,      443,      987,      794,      388,      1235,      979,      601,      803,      1052,      440,      1034,      1050,      393,      1233,      899,      542,      1283,      
213,       747,       631,      811,      763,      451,      985,      794,      388,      1235,      982,      604,      803,      1051,      440,      1034,      1050,      393,      1233,      899,      542,      1283,      
214,       748,       631,      810,      764,      448,      990,      794,      388,      1235,      982,      604,      801,      1051,      441,      1034,      1050,      393,      1233,      899,      542,      1283,      
215,       746,       632,      806,      764,      446,      993,      793,      388,      1235,      981,      604,      805,      1048,      445,      1024,      1049,      393,      1233,      899,      542,      1283,      
216,       746,       632,      806,      764,      446,      994,      793,      388,      1234,      982,      601,      801,      1050,      443,      1030,      1049,      393,      1233,      899,      542,      1283,      
217,       746,       632,      807,      764,      445,      995,      793,      388,      1234,      982,      601,      799,      1050,      443,      1030,      1049,      393,      1233,      898,      541,      1283,      
218,       746,       629,      805,      764,      444,      997,      793,      388,      1234,      979,      598,      796,      1050,      443,      1030,      1049,      393,      1233,      898,      541,      1283,      
219,       750,       623,      794,      764,      444,      996,      793,      388,      1234,      974,      595,      794,      1050,      443,      1030,      1049,      393,      1233,      898,      541,      1283,      
220,       751,       617,      781,      763,      464,      983,      793,      388,      1234,      971,      592,      790,      1050,      443,      1030,      1049,      393,      1233,      898,      541,      1283,      
221,       757,       606,      778,      764,      464,      983,      793,      388,      1234,      968,      592,      793,      1050,      443,      1032,      1049,      393,      1233,      897,      544,      1293,      
222,       757,       606,      778,      764,      464,      983,      793,      388,      1234,      968,      592,      793,      1050,      443,      1032,      1049,      393,      1233,      897,      544,      1293,      
223,       758,       599,      780,      761,      443,      1041,      792,      387,      1235,      968,      587,      800,      1050,      443,      1032,      1049,      393,      1233,      906,      547,      1290,      
